Accident_ID,Date,Time,State,District,Latitude,Longitude,Road_Type,Weather,Light_Condition,Driver_Age,Driver_Gender,Vehicle_Type,Speed_kmph,Alcohol_Involved,Driver_Drowsy,Pothole_Involved,Cause_of_Accident,Severity,Casualties
ACC20012,13-11-2023,20:15,Karnataka,Bengaluru Urban,15.1665,75.7879,City Road,Clear,Night,44,Male,Bike,42,No,No,No,Poor Weather Visibility,Low,0.0
ACC20013,06-07-2023,12:33,Tamil Nadu,Chennai,11.3901,78.6525,City Road,Foggy,Day,18,Male,Auto,39,No,No,No,Poor Weather Visibility,Low,0.0
ACC20014,19-02-2022,18:41,Karnataka,Belagavi,14.892,76.0344,City Road,Foggy,Dusk,44,Female,Bike,53,No,No,Yes,Poor Weather Visibility,Medium,1.0
ACC20015,01-10-2023,11:10,Telangana,Hyderabad,18.5439,79.5145,City Road,Clear,Day,25,Male,Car,48,No,No,No,Poor Weather Visibility,Low,1.0
ACC20016,08-03-2023,09:10,Tamil Nadu,Coimbatore,11.7323,78.8229,State Highway,Clear,Day,18,Male,Bike,60,No,No,No,Signal Jumping,Low,2.0
ACC20017,11-12-2022,15:59,Karnataka,Bengaluru Urban,15.2955,75.8209,National Highway,Rainy,Day,21,Female,Truck,58,No,No,No,Poor Weather Visibility,Medium,3.0
ACC20018,20-06-2022,21:19,Telangana,Karimnagar,18.3097,78.8738,City Road,Clear,Night,24,Female,Auto,33,No,No,No,Signal Jumping,Low,1.0
ACC20019,07-05-2024,08:11,Tamil Nadu,Coimbatore,11.3756,78.5829,State Highway,Clear,Day,18,Female,Bike,76,Yes,No,No,Drunk Driving,Medium,2.0
ACC20020,04-03-2022,08:52,Kerala,Kollam,10.5253,75.9068,Village Road,Cloudy,Day,23,Male,Bus,42,No,No,No,Poor Weather Visibility,Low,0.0
ACC20021,13-01-2022,18:56,Telangana,Nizamabad,17.008,79.5321,City Road,Rainy,Dusk,26,Male,Bus,62,No,No,No,Poor Weather Visibility,Low,3.0
ACC20022,16-07-2023,17:38,Tamil Nadu,Coimbatore,10.8064,78.6078,City Road,Cloudy,Dusk,30,Male,Car,47,No,No,No,Poor Weather Visibility,Low,0.0
ACC20023,28-08-2023,11:48,Kerala,Ernakulam,9.8662,76.7417,City Road,Cloudy,Day,54,Male,Car,50,No,No,No,Signal Jumping,Low,0.0
ACC20024,16-04-2022,15:53,Telangana,Nizamabad,17.9993,79.8334,Village Road,Cloudy,Day,48,Male,Bus,56,No,Yes,Yes,Drowsy Driving,Medium,2.0
ACC20025,21-06-2022,07:11,Tamil Nadu,Madurai,11.1195,78.7682,Expressway,Clear,Day,18,Male,Car,89,No,No,No,Over Speeding,High,1.0
ACC20026,22-10-2024,17:16,Kerala,Kollam,10.3306,75.5547,National Highway,Clear,Dusk,29,Male,Auto,89,No,No,Yes,Over Speeding,High,6.0
ACC20027,23-04-2023,09:25,Andhra Pradesh,Kurnool,15.5471,80.0926,State Highway,Cloudy,Day,49,Male,Car,76,No,No,Yes,Pothole/Bad Road,Medium,2.0
ACC20028,05-09-2024,14:18,Andhra Pradesh,Nellore,16.3483,79.5277,Village Road,Clear,Day,30,Male,Car,43,No,No,No,Poor Weather Visibility,Low,0.0
ACC20029,27-01-2022,17:49,Kerala,Thiruvananthapuram,10.1581,76.2259,City Road,Rainy,Dusk,23,Female,Auto,48,No,No,No,Poor Weather Visibility,Medium,4.0
ACC20030,23-02-2023,17:55,Tamil Nadu,Coimbatore,10.9666,79.1069,National Highway,Rainy,Dusk,38,Male,Bike,75,No,No,No,Poor Weather Visibility,High,3.0
ACC20031,09-01-2022,13:18,Kerala,Kozhikode,10.2326,76.1026,Village Road,Rainy,Day,31,Male,Auto,46,No,No,Yes,Poor Weather Visibility,Medium,3.0
ACC20032,21-04-2024,18:19,Karnataka,Mysuru,15.4134,75.8522,City Road,Cloudy,Dusk,27,Male,Truck,38,No,No,No,Poor Weather Visibility,Low,2.0
ACC20033,23-10-2022,01:31,Kerala,Kozhikode,9.7043,76.612,State Highway,Clear,Night,20,Male,Truck,77,Yes,Yes,No,Drunk Driving,High,4.0
ACC20034,28-07-2024,18:03,Karnataka,Hubballi,15.8993,76.1517,National Highway,Clear,Dusk,58,Male,Auto,65,No,No,No,Signal Jumping,Medium,3.0
ACC20035,11-04-2024,11:13,Telangana,Karimnagar,17.7933,78.5077,City Road,Clear,Day,32,Male,Bus,66,No,Yes,No,Drowsy Driving,Low,1.0
ACC20036,03-11-2022,12:54,Andhra Pradesh,Guntur,16.1201,80.2662,City Road,Clear,Day,19,Male,Car,64,No,No,No,Signal Jumping,Low,0.0
ACC20037,17-08-2022,00:37,Karnataka,Mangaluru,15.0439,75.6315,Expressway,Cloudy,Night,35,Female,Bike,80,No,No,No,Over Speeding,Medium,3.0
ACC20038,31-03-2022,06:28,Kerala,Ernakulam,9.8769,76.3139,City Road,Clear,Day,32,Male,Car,64,Yes,No,No,Drunk Driving,Low,1.0
ACC20039,23-09-2022,23:21,Karnataka,Hubballi,15.4496,75.6364,State Highway,Rainy,Night,22,Male,Truck,113,Yes,No,No,Over Speeding,High,6.0
ACC20040,25-08-2024,21:23,Karnataka,Bengaluru Urban,15.1591,75.8793,Village Road,Cloudy,Night,31,Male,Truck,54,Yes,Yes,Yes,Drunk Driving,High,4.0
ACC20041,18-01-2022,08:51,Karnataka,Belagavi,14.8634,76.2253,City Road,Clear,Day,38,Male,Car,34,No,No,Yes,Pothole/Bad Road,Low,0.0
ACC20042,20-09-2023,11:41,Andhra Pradesh,Vijayawada,14.8635,79.9498,Expressway,Foggy,Day,25,Female,Truck,87,No,No,No,Poor Weather Visibility,High,9.0
ACC20043,19-08-2023,13:35,Karnataka,Bengaluru Urban,15.4668,75.6885,City Road,Rainy,Day,39,Male,Bike,58,No,No,No,Poor Weather Visibility,Medium,0.0
ACC20044,24-01-2024,06:41,Karnataka,Bengaluru Urban,15.6384,75.6957,State Highway,Cloudy,Day,27,Male,Bus,58,No,No,Yes,Pothole/Bad Road,Low,1.0
ACC20045,15-08-2022,18:07,Andhra Pradesh,Guntur,15.3715,79.5212,Village Road,Foggy,Dusk,46,Male,Auto,39,No,No,Yes,Poor Weather Visibility,Medium,7.0
ACC20046,16-05-2022,19:00,Karnataka,Mangaluru,15.2164,75.7068,City Road,Foggy,Night,56,Male,Car,44,No,No,No,Poor Weather Visibility,Medium,0.0
ACC20047,15-12-2022,00:35,Telangana,Warangal,17.376,78.838,National Highway,Clear,Night,27,Male,Bus,95,Yes,Yes,No,Over Speeding,High,12.0
ACC20048,09-05-2022,13:01,Tamil Nadu,Chennai,12.0858,78.0525,City Road,Clear,Day,30,Male,Bike,45,No,No,Yes,Pothole/Bad Road,Low,1.0
ACC20049,26-12-2022,22:57,Andhra Pradesh,Guntur,15.7342,80.5191,City Road,Cloudy,Night,46,Male,Car,62,Yes,No,No,Drunk Driving,Medium,0.0
ACC20050,25-06-2023,07:07,Karnataka,Hubballi,15.9114,75.0892,City Road,Cloudy,Day,40,Male,Bike,66,No,No,No,Poor Weather Visibility,Medium,2.0
ACC20051,29-11-2022,09:45,Karnataka,Hubballi,15.3673,75.7829,National Highway,Rainy,Day,23,Male,Auto,75,No,No,No,Poor Weather Visibility,High,7.0
ACC20052,22-09-2023,17:27,Andhra Pradesh,Visakhapatnam,16.1282,79.8206,City Road,Clear,Dusk,31,Male,Bike,62,No,No,No,Signal Jumping,Low,3.0
ACC20053,23-09-2024,20:54,Kerala,Thiruvananthapuram,10.7597,77.0735,City Road,Clear,Night,23,Male,Car,58,No,No,No,Signal Jumping,Low,0.0
ACC20054,21-07-2023,17:27,Karnataka,Hubballi,14.1961,75.7391,National Highway,Clear,Dusk,37,Female,Bike,59,Yes,No,No,Drunk Driving,Medium,1.0
ACC20055,07-12-2023,12:32,Tamil Nadu,Coimbatore,11.0669,78.1732,Expressway,Clear,Day,34,Male,Car,86,No,No,No,Over Speeding,Medium,1.0
ACC20056,07-04-2023,02:24,Tamil Nadu,Tiruchirappalli,10.8498,78.4156,State Highway,Clear,Night,46,Female,Auto,96,Yes,Yes,No,Over Speeding,High,7.0
ACC20057,31-10-2023,16:17,Andhra Pradesh,Vijayawada,16.0573,79.8936,Village Road,Clear,Day,41,Male,Truck,34,No,No,Yes,Pothole/Bad Road,Low,0.0
ACC20058,03-01-2024,07:47,Kerala,Ernakulam,9.6341,76.9983,Village Road,Foggy,Day,49,Male,Bike,31,No,No,No,Poor Weather Visibility,Medium,0.0
ACC20059,16-01-2024,22:18,Andhra Pradesh,Guntur,15.8274,79.4371,State Highway,Clear,Night,18,Male,Car,69,Yes,No,No,Drunk Driving,Medium,2.0
ACC20060,12-01-2024,18:11,Telangana,Karimnagar,18.1503,78.9986,National Highway,Clear,Dusk,18,Male,Bike,62,No,No,No,Over Speeding,Medium,0.0
ACC20061,09-08-2023,16:56,Andhra Pradesh,Visakhapatnam,15.9043,79.1852,City Road,Clear,Day,54,Male,Bike,67,Yes,No,No,Drunk Driving,Medium,5.0
ACC20062,20-09-2022,04:25,Tamil Nadu,Coimbatore,11.094,78.2499,National Highway,Cloudy,Night,29,Male,Bike,78,Yes,Yes,No,Drunk Driving,High,5.0
ACC20063,17-06-2023,19:46,Karnataka,Bengaluru Urban,14.7918,76.3491,Expressway,Foggy,Night,20,Female,Car,88,Yes,No,No,Poor Weather Visibility,High,4.0
ACC20064,21-11-2023,09:13,Kerala,Thiruvananthapuram,10.2596,76.4313,State Highway,Clear,Day,35,Male,Bike,85,Yes,No,No,Drunk Driving,High,3.0
ACC20065,28-09-2023,18:42,Tamil Nadu,Tiruchirappalli,10.8394,78.7624,State Highway,Clear,Dusk,57,Female,Car,71,No,No,No,Over Speeding,Medium,2.0
ACC20066,13-10-2022,22:13,Puducherry,Puducherry,11.4162,79.8491,City Road,Clear,Night,28,Male,Car,48,Yes,No,Yes,Drunk Driving,Medium,2.0
ACC20067,29-06-2024,08:42,Telangana,Hyderabad,17.5593,78.3588,State Highway,Rainy,Day,45,Male,Auto,89,Yes,Yes,No,Over Speeding,High,5.0
ACC20068,03-08-2024,09:46,Telangana,Hyderabad,17.6236,79.0126,Expressway,Clear,Day,23,Male,Auto,75,No,No,No,Over Speeding,Medium,5.0
ACC20069,07-07-2023,01:32,Kerala,Kollam,10.9289,76.8408,Village Road,Clear,Night,51,Female,Auto,64,Yes,Yes,Yes,Drunk Driving,High,8.0
ACC20070,04-07-2023,10:21,Telangana,Hyderabad,17.7598,78.5276,Expressway,Cloudy,Day,44,Male,Bike,87,No,No,No,Over Speeding,Medium,3.0
ACC20071,05-07-2022,19:38,Tamil Nadu,Chennai,10.9128,78.9036,State Highway,Foggy,Night,32,Male,Car,72,No,No,Yes,Poor Weather Visibility,High,7.0
ACC20072,24-10-2024,08:22,Karnataka,Belagavi,15.3855,76.078,State Highway,Foggy,Day,28,Male,Car,84,No,No,No,Poor Weather Visibility,High,7.0
ACC20073,01-02-2023,11:48,Kerala,Thrissur,9.2089,75.8501,National Highway,Rainy,Day,27,Female,Bike,68,No,No,No,Poor Weather Visibility,Medium,3.0
ACC20074,07-11-2023,07:35,Andhra Pradesh,Guntur,15.9983,79.7383,City Road,Foggy,Day,44,Female,Bus,54,No,No,Yes,Poor Weather Visibility,Medium,0.0
ACC20075,14-06-2022,07:51,Kerala,Kollam,10.7423,77.08,City Road,Cloudy,Day,38,Female,Bike,66,No,No,No,Poor Weather Visibility,Medium,2.0
ACC20076,25-05-2023,21:25,Tamil Nadu,Tiruchirappalli,11.1455,78.5241,State Highway,Clear,Night,33,Male,Bike,81,Yes,No,No,Drunk Driving,High,8.0
ACC20077,08-03-2023,07:42,Karnataka,Belagavi,15.3803,75.5488,Village Road,Clear,Day,30,Male,Truck,31,No,No,Yes,Pothole/Bad Road,Low,1.0
ACC20078,12-05-2023,06:40,Karnataka,Hubballi,15.2555,76.0478,City Road,Clear,Day,53,Female,Car,59,No,No,No,Signal Jumping,Low,3.0
ACC20079,28-02-2022,07:30,Karnataka,Mangaluru,14.9535,75.5822,National Highway,Clear,Day,30,Male,Bus,78,No,Yes,No,Drowsy Driving,Medium,0.0
ACC20080,07-08-2022,10:10,Tamil Nadu,Chennai,10.5931,77.8345,Expressway,Clear,Day,29,Male,Auto,76,No,No,No,Signal Jumping,Medium,2.0
ACC20081,29-07-2022,09:06,Karnataka,Mysuru,15.4921,76.294,City Road,Clear,Day,39,Male,Car,59,No,Yes,No,Drowsy Driving,Low,0.0
ACC20082,10-04-2022,07:44,Karnataka,Belagavi,15.7793,75.8864,National Highway,Clear,Day,28,Male,Bus,63,No,No,No,Over Speeding,Low,0.0
ACC20083,04-07-2022,09:23,Andhra Pradesh,Vijayawada,15.3544,79.7692,City Road,Clear,Day,48,Male,Bus,40,No,Yes,No,Drowsy Driving,Low,0.0
ACC20084,04-11-2022,18:39,Telangana,Nizamabad,18.3743,79.3348,State Highway,Overcast,Dusk,59,Male,Bike,57,No,No,No,Poor Weather Visibility,Low,1.0
ACC20085,07-08-2022,03:49,Kerala,Kollam,10.009,76.5023,Expressway,Clear,Night,47,Male,Car,76,No,No,No,Over Speeding,Medium,3.0
ACC20086,23-05-2024,05:47,Kerala,Thrissur,10.153,75.9628,State Highway,Clear,Dawn,59,Female,Bike,65,No,No,No,Over Speeding,Low,1.0
ACC20087,15-10-2022,21:40,Andhra Pradesh,Guntur,16.2843,80.0587,National Highway,Overcast,Night,48,Male,Car,64,No,No,No,Signal Jumping,Medium,2.0
ACC20088,20-01-2022,06:06,Telangana,Nizamabad,17.8496,79.3102,National Highway,Cloudy,Day,37,Male,Bike,50,No,No,No,Poor Weather Visibility,Low,3.0
ACC20089,28-08-2024,16:38,Andhra Pradesh,Vijayawada,16.4016,80.1549,Expressway,Clear,Day,31,Female,Car,58,No,No,No,Signal Jumping,Low,0.0
ACC20090,06-11-2024,12:27,Telangana,Nizamabad,17.6314,79.8463,National Highway,Cloudy,Day,36,Male,Auto,60,No,No,No,Poor Weather Visibility,Low,0.0
ACC20091,06-04-2023,18:36,Telangana,Hyderabad,17.5362,78.5615,National Highway,Cloudy,Dusk,38,Male,Auto,67,No,No,No,Poor Weather Visibility,Medium,1.0
ACC20092,15-05-2024,20:12,Tamil Nadu,Madurai,11.3563,78.7847,Village Road,Clear,Night,43,Male,Truck,39,No,Yes,No,Drowsy Driving,Low,1.0
ACC20093,29-06-2024,08:57,Telangana,Karimnagar,17.0183,78.8991,Village Road,Foggy,Day,35,Female,Truck,30,No,No,No,Poor Weather Visibility,Low,
ACC20094,09-07-2023,18:54,Karnataka,Hubballi,15.7061,75.9357,State Highway,Rainy,Dusk,32,Male,Bike,68,No,No,No,Poor Weather Visibility,Medium,3.0
ACC20095,14-02-2022,22:42,Kerala,Thiruvananthapuram,10.7291,77.0002,City Road,Cloudy,Night,23,Male,Car,66,Yes,No,No,Drunk Driving,High,7.0
ACC20096,21-04-2024,07:34,Telangana,Nizamabad,18.1455,79.2375,State Highway,Overcast,Day,43,Male,Truck,48,No,Yes,No,Signal Jumping,Low,1.0
ACC20097,20-09-2022,12:52,Andhra Pradesh,Guntur,15.9397,79.0866,Village Road,Overcast,Day,43,Male,Car,47,No,No,No,Poor Weather Visibility,Low,0.0
ACC20098,21-12-2022,16:35,Tamil Nadu,Madurai,10.7009,78.4329,City Road,Overcast,Day,50,Male,Car,37,No,No,No,Poor Weather Visibility,Low,1.0
ACC20099,08-03-2023,21:59,Andhra Pradesh,Vijayawada,15.9528,79.5018,City Road,Cloudy,Night,47,Female,Truck,69,Yes,Yes,Yes,Drunk Driving,Medium,4.0
ACC20100,09-12-2023,21:01,Tamil Nadu,Tiruchirappalli,10.9797,77.9187,City Road,Cloudy,Night,61,Male,Car,48,No,No,No,Poor Weather Visibility,Low,1.0
ACC20101,18-01-2022,09:35,Karnataka,Mysuru,15.0371,76.0657,State Highway,Rainy,Day,57,Male,Bike,82,No,No,No,Poor Weather Visibility,Medium,4.0
ACC20102,31-10-2022,18:02,Telangana,Hyderabad,18.5693,78.5274,City Road,Foggy,Dusk,61,Male,Car,30,No,No,Yes,Poor Weather Visibility,Low,1.0
ACC20103,29-12-2023,21:30,Karnataka,Mangaluru,15.1918,75.2325,City Road,Cloudy,Night,27,Male,Car,47,No,No,No,Signal Jumping,Low,1.0
ACC20104,28-07-2024,23:50,Kerala,Kollam,10.232,75.993,Village Road,Clear,Night,18,Male,Auto,30,No,No,No,Poor Weather Visibility,Low,0.0
ACC20105,06-05-2022,20:36,Andhra Pradesh,Visakhapatnam,15.6015,79.6601,City Road,Cloudy,Night,33,Female,Bus,37,No,Yes,No,Drowsy Driving,Low,3.0
ACC20106,25-03-2023,04:34,Telangana,Khammam,17.4586,79.1252,State Highway,Overcast,Night,47,Male,Car,81,Yes,No,No,Drunk Driving,High,4.0
ACC20107,27-12-2023,10:13,Andhra Pradesh,Vijayawada,15.1776,79.8673,City Road,Rainy,Day,39,Male,Bike,70,No,No,No,Poor Weather Visibility,Medium,2.0
ACC20108,12-02-2024,14:16,Tamil Nadu,Chennai,11.2358,78.6234,Expressway,Clear,Day,24,Male,Auto,59,Yes,No,No,Drunk Driving,Medium,3.0
ACC20109,01-08-2024,09:59,Karnataka,Mangaluru,15.3783,75.7105,State Highway,Overcast,Day,34,Male,Bus,54,No,No,No,Poor Weather Visibility,Low,3.0
ACC20110,27-10-2022,18:03,Kerala,Thiruvananthapuram,10.2666,75.6334,National Highway,Overcast,Dusk,30,Male,Car,75,No,No,No,Over Speeding,Medium,1.0
ACC20111,06-12-2024,01:07,Tamil Nadu,Tiruchirappalli,10.9751,78.9074,National Highway,Cloudy,Night,50,Female,Car,82,No,No,No,Over Speeding,Medium,5.0
ACC20112,09-07-2024,17:48,Kerala,Ernakulam,10.1856,76.4044,National Highway,Cloudy,Dusk,18,Male,Bike,73,No,No,No,Over Speeding,High,3.0
ACC20113,11-02-2023,11:14,Kerala,Kozhikode,10.0611,76.2063,City Road,Rainy,Day,33,Male,Auto,47,No,No,Yes,Poor Weather Visibility,Medium,0.0
ACC20114,15-02-2022,11:13,Telangana,Khammam,17.437,79.1315,Expressway,Rainy,Day,56,Male,Bike,73,No,No,Yes,Poor Weather Visibility,High,4.0
ACC20115,30-04-2023,21:31,Telangana,Hyderabad,17.6117,79.2304,Village Road,Cloudy,Night,18,Male,Car,54,No,No,No,Poor Weather Visibility,Medium,3.0
ACC20116,04-07-2022,16:51,Tamil Nadu,Chennai,11.1085,78.2068,City Road,Overcast,Day,18,Male,Car,35,No,No,No,Signal Jumping,Low,1.0
ACC20117,08-01-2024,18:21,Tamil Nadu,Coimbatore,10.9282,78.529,Expressway,Rainy,Dusk,39,Male,Bike,97,No,No,No,Over Speeding,High,3.0
ACC20118,09-02-2022,12:24,Andhra Pradesh,Kurnool,15.5988,79.2145,City Road,Clear,Day,63,Male,Truck,55,No,No,No,Poor Weather Visibility,Low,1.0
ACC20119,29-11-2024,15:19,Tamil Nadu,Chennai,10.8165,78.3649,National Highway,Clear,Day,30,Male,Bike,66,No,No,No,Signal Jumping,Low,0.0
ACC20120,05-01-2024,09:43,Tamil Nadu,Madurai,11.2978,79.1503,City Road,Foggy,Day,28,Male,Bike,53,No,No,No,Poor Weather Visibility,Medium,3.0
ACC20121,24-06-2022,23:11,Kerala,Thrissur,9.8872,76.4165,City Road,Clear,Night,40,Male,Bike,55,No,No,No,Signal Jumping,Low,1.0
ACC20122,03-02-2023,20:46,Tamil Nadu,Salem,10.4954,78.481,City Road,Cloudy,Night,40,Male,Bike,48,No,Yes,No,Signal Jumping,Medium,2.0
ACC20123,27-04-2024,16:13,Telangana,Karimnagar,18.022,78.9144,Village Road,Clear,Day,34,Male,Bike,43,Yes,No,No,Drunk Driving,Low,2.0
ACC20124,30-10-2024,20:41,Telangana,Nizamabad,18.5149,79.2443,City Road,Cloudy,Night,26,Male,Bus,58,No,No,Yes,Pothole/Bad Road,Medium,1.0
ACC20125,04-02-2024,18:15,Tamil Nadu,Chennai,10.673,78.9604,Village Road,Clear,Dusk,27,Male,Bike,46,No,No,Yes,Pothole/Bad Road,Medium,2.0
ACC20126,26-11-2022,06:03,Kerala,Kozhikode,10.6948,76.8357,National Highway,Rainy,Day,53,Female,Bike,87,No,No,No,Poor Weather Visibility,High,9.0
ACC20127,08-07-2023,21:22,Telangana,Nizamabad,17.3631,78.8746,Expressway,Clear,Night,39,Male,Auto,83,Yes,No,Yes,Drunk Driving,High,5.0
ACC20128,10-10-2022,13:38,Puducherry,Karaikal,11.8867,79.6828,Village Road,Overcast,Day,33,Male,Car,45,No,Yes,Yes,Drowsy Driving,Medium,4.0
ACC20129,03-04-2022,18:13,Karnataka,Hubballi,14.7887,76.3552,City Road,Clear,Dusk,31,Male,Car,43,No,No,No,Poor Weather Visibility,Low,1.0
ACC20130,09-08-2023,09:57,Tamil Nadu,Tiruchirappalli,11.2648,78.984,Expressway,Rainy,Day,36,Male,Truck,75,No,No,No,Poor Weather Visibility,Medium,2.0
ACC20131,21-12-2022,22:20,Telangana,Hyderabad,18.0262,78.5493,State Highway,Clear,Night,49,Female,Car,65,No,No,No,Signal Jumping,Low,2.0
ACC20132,18-06-2022,13:25,Telangana,Hyderabad,18.2822,79.0539,Village Road,Overcast,Day,52,Male,Auto,43,No,No,Yes,Pothole/Bad Road,Low,1.0
ACC20133,04-08-2023,08:10,Tamil Nadu,Madurai,10.8571,78.9859,State Highway,Overcast,Day,27,Male,Bus,55,No,No,No,Poor Weather Visibility,Low,3.0
ACC20134,08-09-2022,06:55,Karnataka,Mangaluru,15.0363,75.757,City Road,Clear,Day,29,Male,Car,44,No,No,Yes,Pothole/Bad Road,Low,2.0
ACC20135,30-11-2024,22:59,Andhra Pradesh,Kurnool,15.1875,79.5584,National Highway,Rainy,Night,26,Male,Car,62,No,No,No,Poor Weather Visibility,High,6.0
ACC20136,23-05-2024,18:20,Telangana,Karimnagar,18.2363,79.0664,State Highway,Cloudy,Dusk,26,Male,Auto,33,No,No,No,Poor Weather Visibility,Low,0.0
ACC20137,26-06-2024,14:24,Tamil Nadu,Salem,11.1134,77.7706,City Road,Rainy,Day,18,Female,Bike,70,No,No,Yes,Poor Weather Visibility,Medium,3.0
ACC20138,15-06-2023,17:29,Andhra Pradesh,Guntur,15.8036,79.2309,Village Road,Clear,Dusk,25,Female,Auto,30,No,No,Yes,Pothole/Bad Road,Low,1.0
ACC20139,20-12-2022,13:10,Telangana,Karimnagar,17.8024,78.7629,State Highway,Clear,Day,37,Male,Car,54,Yes,No,No,Drunk Driving,Low,3.0
ACC20140,08-03-2023,16:33,Kerala,Kozhikode,11.0431,76.4812,City Road,Clear,Day,35,Male,Car,39,No,No,Yes,Pothole/Bad Road,Low,2.0
ACC20141,08-05-2022,04:28,Tamil Nadu,Salem,10.5198,78.9649,City Road,Foggy,Night,26,Female,Auto,85,Yes,Yes,No,Poor Weather Visibility,High,7.0
ACC20142,27-05-2023,21:49,Tamil Nadu,Madurai,11.3735,78.9429,National Highway,Rainy,Night,39,Male,Bike,65,No,No,No,Poor Weather Visibility,High,9.0
ACC20143,19-08-2022,07:50,Karnataka,Mysuru,15.4697,75.7651,Expressway,Rainy,Day,40,Male,Bike,73,No,No,No,Poor Weather Visibility,Medium,
ACC20144,29-12-2023,10:13,Telangana,Hyderabad,17.6711,79.8045,City Road,Clear,Day,22,Female,Bus,54,No,No,Yes,Pothole/Bad Road,Low,0.0
ACC20145,26-07-2024,10:57,Tamil Nadu,Salem,11.1912,78.2952,National Highway,Clear,Day,30,Male,Bike,73,No,No,No,Over Speeding,Medium,1.0
ACC20146,23-09-2024,14:04,Tamil Nadu,Madurai,11.215,78.0132,National Highway,Cloudy,Day,54,Female,Bike,60,No,No,No,Poor Weather Visibility,Low,0.0
ACC20147,05-02-2024,10:38,Karnataka,Bengaluru Urban,15.1422,75.0859,City Road,Clear,Day,42,Male,Car,66,No,Yes,No,Drowsy Driving,Low,1.0
ACC20148,26-11-2022,09:30,Tamil Nadu,Madurai,10.4922,78.078,City Road,Clear,Day,39,Female,Bike,51,No,No,No,Signal Jumping,Low,2.0
ACC20149,18-06-2022,14:26,Tamil Nadu,Madurai,11.6119,78.176,City Road,Clear,Day,29,Male,Truck,44,No,No,No,Poor Weather Visibility,Low,2.0
ACC20150,20-08-2022,02:46,Tamil Nadu,Coimbatore,11.1455,78.9117,City Road,Clear,Night,31,Male,Car,43,No,No,Yes,Pothole/Bad Road,Low,0.0
ACC20151,16-09-2022,11:10,Kerala,Kollam,9.8077,76.1943,Village Road,Clear,Day,53,Female,Truck,61,No,Yes,No,Drowsy Driving,Medium,5.0
ACC20152,11-12-2024,14:44,Andhra Pradesh,Kurnool,14.7107,79.1809,Village Road,Rainy,Day,49,Male,Auto,19,No,No,Yes,Poor Weather Visibility,Low,1.0
ACC20153,21-07-2024,16:40,Karnataka,Hubballi,14.8435,75.5604,State Highway,Clear,Day,30,Male,Bike,62,No,No,Yes,Pothole/Bad Road,Low,2.0
ACC20154,23-11-2022,12:14,Tamil Nadu,Coimbatore,11.0518,79.3679,Village Road,Clear,Day,38,Male,Truck,42,No,No,No,Poor Weather Visibility,Low,2.0
ACC20155,08-12-2024,23:49,Karnataka,Belagavi,14.9834,76.5602,Expressway,Foggy,Night,46,Male,Bike,57,No,No,No,Poor Weather Visibility,Medium,4.0
